"Species","Classification","Class1","Class2","Class3","Class4","Class5","Class6","McE1","McE2","McE3","McE4"
"Aneides aeneus","RA","T","A","R","A","R","R","A","T","T","S"
"Aneides ferreus","TA","T","A","T","A","T","T","A","A","A","A"
"Aneides flavipunctatus","TR","T","T","R","R","R","R","T","T","T","T"
"Aneides hardii","T","T","T","T","T","T","T","T","T","T","T"
"Aneides lugubris","TA","T","A","T","A","T","T","A","A","A","A"
"Aneides vagrans","TA","T","A","T","A","T","T","A","A","A","A"
"Aquiloeurycea quetzalanensis","TV","T","T","T","T","T","T","A","T","T","S"
"Batrachoseps altasierrae","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps attenuatus","T","T","T","T","T","T","T","A","T","T","S"
"Batrachoseps bramei","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps campi","TR","T","T","R","R","R","R","T","T","T","T"
"Batrachoseps diabolicus","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps gabrieli","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps gavilanensis","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps gregarius","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps incognitus","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps kawia","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps luciae","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps major","T","T","T","T","T","T","T","A","T","T","S"
"Batrachoseps minor","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps nigriventris","T","T","T","T","T","T","T","A","T","T","S"
"Batrachoseps pacificus","T","T","T","T","T","T","T","A","T","T","S"
"Batrachoseps regius","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps relictus","TW","T","T","W","W","W","W","T","T","T","T"
"Batrachoseps robustus","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps simatus","T","T","T","T","T","T","T","T","T","T","T"
"Batrachoseps stebbinsi","R","T","T","R","R","R","R","T","T","T","T"
"Batrachoseps wrighti","TF","T","T","F","F","F","F","T","T","T","T"
"Bolitoglossa adspersa","TV","T","T","T","T","T","T","A","T","T","S"
"Bolitoglossa alberchi","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa alvaradoi","AB","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa aureogularis","AV","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa biseriata","AB","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa bramei","AV","A","A","A","A","A","A","A","T","T","S"
"Bolitoglossa carri","B","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa cataguana","AT","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa celaque","BT","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa cerroensis","V","T","T","T","T","T","V","T","T","T","T"
"Bolitoglossa chinanteca","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa chucantiensis","VB","T","A","T","A","T","V","T","T","T","T"
"Bolitoglossa colonnea","BT","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa compacta","V","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa conanti","BT","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa cuchumatana","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa cuna","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa decora","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa diaphora","V","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa dofleini","TA","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa dunni","AT","A","A","A","A","A","A","A","T","T","S"
"Bolitoglossa engelhardti","AB","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa epimela","VT","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa equatoriana","AV","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa eremia","T","T","T","T","T","T","T","A","T","T","S"
"Bolitoglossa flavimembris","V","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa flaviventris","V","T","T","T","T","T","V","A","A","A","A"
"Bolitoglossa franklini","AT","A","A","A","A","A","A","A","T","T","S"
"Bolitoglossa gomezi","B","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa gracilis","T","T","T","T","T","T","T","A","T","T","S"
"Bolitoglossa hartwegi","RB","T","A","R","A","R","R","A","T","T","S"
"Bolitoglossa heiroreias","TR","T","T","R","R","R","R","A","T","T","S"
"Bolitoglossa helmrichi","AB","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa hermosa","BT","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa kamuk","VT","T","T","T","T","T","V","T","T","T","T"
"Bolitoglossa kaqchikelorum","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa lincolni","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa longissima","AT","A","A","A","A","A","A","A","T","T","S"
"Bolitoglossa macrinii","VT","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa marmorea","TA","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa medemi","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa meliana","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa mexicana","BV","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa minutula","VT","T","T","T","T","T","V","A","T","T","S"
"Bolitoglossa mombachoensis","AB","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa morio","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa mucuyensis","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa mulleri","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa nigrescens","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa nympha","T","T","T","T","T","T","T","A","A","A","A"
"Bolitoglossa oaxacensis","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa occidentalis","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa odonnelli","VT","T","T","T","T","T","V","A","A","A","A"
"Bolitoglossa pacaya","T","T","T","T","T","T","T","A","A","A","A"
"Bolitoglossa palmata","V","T","T","T","T","T","V","T","T","T","T"
"Bolitoglossa paraensis","AV","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa peruviana","V","T","T","T","T","T","V","A","A","A","A"
"Bolitoglossa pesrubra","V","T","T","T","T","T","V","A","A","A","A"
"Bolitoglossa platydactyla","BT","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa porrasorum","AB","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa riletti","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa robinsoni","T","T","T","T","T","T","T","T","T","T","T"
"Bolitoglossa robusta","T","T","T","T","T","T","T","A","T","T","S"
"Bolitoglossa rostrata","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa rufescens","B","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa schizodactyla","A","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa sombra","AT","A","A","A","A","A","A","A","A","A","A"
"Bolitoglossa splendida","V","T","T","T","T","T","V","T","T","T","T"
"Bolitoglossa stuarti","B","A","A","A","A","A","B","A","A","A","A"
"Bolitoglossa subpalmata","BT","A","A","A","A","A","B","A","T","T","S"
"Bolitoglossa suchitanensis","T","T","T","T","T","T","T","A","T","T","S"
"Bolitoglossa synoria","AF","A","A","A","A","A","A","A","T","T","S"
"Bolitoglossa tica","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa yucatana","TB","T","A","T","A","T","T","A","T","T","S"
"Bolitoglossa zapoteca","T","T","T","T","T","T","T","T","T","T","T"
"Bradytriton silus","T","T","T","T","T","T","T","T","T","T","T"
"Chiropterotriton arboreus","B","A","A","A","A","A","B","A","A","A","A"
"Chiropterotriton chondrostega","T","T","T","T","T","T","T","A","T","T","S"
"Chiropterotriton cracens","B","A","A","A","A","A","B","A","A","A","A"
"Chiropterotriton dimidiatus","T","T","T","T","T","T","T","T","T","T","T"
"Chiropterotriton lavae","B","A","A","A","A","A","B","A","A","A","A"
"Chiropterotriton magnipes","CT","T","T","R","R","C","C","T","T","T","T"
"Chiropterotriton miquihuanus","T","T","T","T","T","T","T","T","T","T","T"
"Chiropterotriton mosaueri","T","T","T","T","T","T","T","T","T","T","T"
"Chiropterotriton multidentatus","BT","A","A","A","A","A","B","A","A","A","A"
"Chiropterotriton priscus","T","T","T","T","T","T","T","T","T","T","T"
"Cryptotriton alvarezdeltoroi","T","T","T","T","T","T","T","T","T","T","T"
"Cryptotriton monzoni","B","A","A","A","A","A","B","A","A","A","A"
"Cryptotriton nasalis","B","A","A","A","A","A","B","A","A","A","A"
"Cryptotriton necopinus","V","T","T","T","T","T","V","T","T","T","T"
"Cryptotriton sierraminensis","A","A","A","A","A","A","A","A","A","A","A"
"Cryptotriton veraepacis","B","A","A","A","A","A","B","A","A","A","A"
"Dendrotriton bromeliacius","B","A","A","A","A","A","B","A","A","A","A"
"Dendrotriton chujorum","B","A","A","A","A","A","B","A","A","A","A"
"Dendrotriton cuchumatanus","T","T","T","T","T","T","T","T","T","T","T"
"Dendrotriton kekchiorum","V","T","T","T","T","T","V","A","T","T","S"
"Dendrotriton megarhinus","B","A","A","A","A","A","B","A","A","A","A"
"Dendrotriton rabbi","BT","A","A","A","A","A","B","A","T","T","S"
"Dendrotriton sanctibarbarus","BT","A","A","A","A","A","B","A","T","T","S"
"Dendrotriton xolocalcae","B","A","A","A","A","A","B","A","A","A","A"
"Desmognathus abditus","T","T","T","T","T","T","T","T","T","T","T"
"Desmognathus aeneus","T","T","T","T","T","T","T","A","T","T","S"
"Desmognathus apalachicolae","T","T","T","T","T","T","T","A","T","T","S"
"Desmognathus auriculatus","TW","T","T","W","W","W","W","T","T","T","T"
"Desmognathus brimleyorum","WT","T","T","W","W","W","W","T","T","T","T"
"Desmognathus carolinensis","T","T","T","T","T","T","T","A","T","T","S"
"Desmognathus conanti","WT","T","T","W","W","W","W","T","T","T","T"
"Desmognathus folkertsi","W","T","T","W","W","W","W","T","T","T","T"
"Desmognathus fuscus","WT","T","T","W","W","W","W","T","T","T","T"
"Desmognathus imitator","T","T","T","T","T","T","T","A","T","T","S"
"Desmognathus marmoratus","W","T","T","W","W","W","W","A","T","T","S"
"Desmognathus monticola","TW","T","T","W","W","W","W","A","T","T","S"
"Desmognathus ochrophaeus","T","T","T","T","T","T","T","A","T","T","S"
"Desmognathus ocoee","TV","T","T","T","T","T","T","A","T","T","S"
"Desmognathus orestes","TR","T","T","R","R","R","R","A","T","T","S"
"Desmognathus organi","TA","T","A","T","A","T","T","A","T","T","S"
"Desmognathus planiceps","W","T","T","W","W","W","W","T","T","T","T"
"Desmognathus quadramaculatus","WT","T","T","W","W","W","W","A","T","T","S"
"Desmognathus santeetlah","TR","T","T","R","R","R","R","A","T","T","S"
"Desmognathus welteri","T","T","T","T","T","T","T","T","T","T","T"
"Desmognathus wrighti","T","T","T","T","T","T","T","A","T","T","S"
